s,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition,
95,96,1099,Connceted,79,14.4V,144V,148V,145V,229V,238V,236V,-,auto,
96,97,-,Not Connceted,76,-,-,-,-,-,-,-,-,-,
97,98,-,Not Connceted,75,-,-,-,-,-,-,-,-,-,
98,99,-,Not Connceted,77,-,-,-,-,-,-,-,-,-,
99,100,1338,Connceted,108,13.1V,217V,225V,217V,V,V,V,-,auto,
100,101,-,Not Connceted,109,-,-,-,-,-,-,-,-,-,
101,102,61,Connceted,110,13.8V,240V,239V,237V,V,V,V,-,auto,
102,103,-,Not Connceted,111,-,-,-,-,-,-,-,-,-,
103,104,18,Connceted,112,13.5V,241V,233V,251V,V,V,V,-,auto,
104,105,-,Not Connceted,113,-,-,-,-,-,-,-,-,-,
105,106,-,Not Connceted,114,-,-,-,-,-,-,-,-,-,
106,107,22787,Connceted,115,13.8V,224V,231V,230V,V,V,V,-,auto,
107,108,1591,Connceted,116,13.8V,241V,250V,236V,V,V,V,WARNING : Service Request,auto,
108,109,28,Connceted,117,13.7V,218V,216V,246V,V,V,V,-,auto,
109,110,229,Connceted,118,13.5V,208V,208V,208V,V,V,V,-,auto,
110,111,2509,Connceted,119,13.4V,212V,216V,212V,V,V,V,-,auto,
111,112,46,Connceted,121,13.3V,236V,223V,224V,V,V,V,-,stop,MEGR_Nokalakevi
112,113,-,Connceted,122,-,-,-,-,-,-,-,-,-,
113,114,87,Connceted,123,13.7V,228V,234V,233V,V,V,V,-,auto,
114,115,4249,Connceted,125,14.6V,V,V,V,229V,230V,227V,-,auto,
115,116,2135,Connceted,126,14.6V,V,V,V,234V,231V,234V,-,auto,
116,117,102,Connceted,127,13.4V,226V,219V,241V,V,V,V,-,auto,
117,118,217,Connceted,128,12.6V,V,V,V,V,V,V,-,auto,
118,119,16,Connceted,129,13.5V,212V,231V,225V,V,V,V,-,auto,
119,120,142,Connceted,130,15.6V,V,V,V,191V,192V,192V,-,auto,
120,121,10,Connceted,131,13.8V,223V,224V,226V,V,V,V,-,auto,
121,122,868,Connceted,132,13.6V,225V,222V,238V,V,V,V,-,auto,
122,123,88,Connceted,134,14.5V,232V,232V,233V,V,V,V,-,auto,
123,124,168,Connceted,133,13.1V,228V,229V,229V,V,V,V,-,auto,
124,125,-,Connceted,135,-,-,-,-,-,-,-,-,-,
125,126,10875,Connceted,136,13.5V,197V,197V,197V,V,V,V,-,auto,
126,127,1930,Connceted,137,13.8V,224V,223V,223V,V,V,V,WARNING : Service Request,auto,
127,128,362,Connceted,138,13.6V,238V,239V,229V,V,V,V,-,auto,
128,129,20,Connceted,139,13.2V,224V,224V,224V,V,V,V,-,auto,
129,130,380,Connceted,140,13.5V,221V,224V,221V,V,V,V,-,stop,KRTL_Tsalka_TV
130,131,197,Connceted,141,13.4V,209V,209V,209V,V,V,V,SHUTDOWN ALARM: Fail to Start,auto,
131,132,211,Connceted,142,12.7V,V,V,V,V,V,V,-,auto,
132,133,2316,Connceted,4,13.5V,194V,194V,194V,V,V,V,-,auto,
133,134,8424,Connceted,143,13.5V,223V,212V,208V,V,V,V,-,auto,
134,135,714,Connceted,144,13.8V,216V,233V,216V,V,V,V,-,auto,
135,136,610,Connceted,145,13.7V,244,229V,248V,V,V,V,SHUTDOWN ALARM: Fail to Start,auto,
136,137,1,Connceted,146,13.3V,240V,240V,240V,V,V,V,-,auto,
137,138,-,Not Connceted,147,-,-,-,-,-,-,-,-,-,
138,139,1135,Connceted,148,13.6V,234V,240V,238V,V,V,V,-,auto,
139,140,1450,Connceted,149,13.6V,229V,228V,229V,V,V,V,-,auto,
140,141,275,Connceted,150,13.6V,225V,212V,212V,V,V,V,-,auto,
141,142,18760,Connceted,151,13.6V,217V,233V,214V,V,V,V,-,auto,
142,143,9471,Connceted,152,13.7V,233V,233V,229V,V,V,V,-,auto,
143,144,14303,Connceted,88,13.9V,211V,211V,211V,V,V,V,WARNING : Service Request,auto,
144,145,-,Not Connceted,85,-,-,-,-,-,-,-,-,-,
145,146,1102,Connceted,6,12.9V,V,V,V,V,V,V,-,auto,
146,147,1205,Connceted,40,13.6V,217V,224V,218V,V,V,V,-,auto,
147,148,15,Connceted,81,13.8V,209V,211V,207V,V,V,V,-,auto,
148,149,776,Connceted,35,13.7V,247,247V,247V,V,V,V,-,auto,
149,150,-,Not Connceted,95,-,-,-,-,-,-,-,-,-,
150,151,1114,Connceted,120,13.7V,209V,209V,209V,V,V,V,-,auto,
151,152,5083,Connceted,124,13.4V,228V,224V,230V,V,V,V,-,auto,
