,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition
118,119,9481,Connceted,52,13.8V,212V,212V,245V,V,V,V,WARNING : Service Request,auto
119,120,11671,Connceted,89,13.6V,221V,221V,222V,V,V,V,|SHUTDOWN ALARM: Emergency Stop,stop
120,121,27,Connceted,87,13.6V,213V,206V,206V,V,V,V,-,auto
121,122,21669,Connceted,60,12.7V,V,V,V,V,V,V,-,auto
122,123,1308,Connceted,59,13.6V,229V,225V,219V,V,V,V,WARNING : Service Request,auto
123,124,609,Connceted,76,13.8V,229V,231V,232V,V,V,V,-,auto
124,125,20600,Connceted,7,12.7V,V,V,V,V,V,V,|SHUTDOWN ALARM: Emergency Stop,stop
125,126,-,Not Connceted,92,-,-,-,-,-,-,-,-,-
126,127,2829,Connceted,50,13.6V,220V,222V,222V,V,V,V,WARNING : Service Request,auto
127,128,860,Connceted,93,13.8V,227,222V,199V,V,V,V,-,auto
128,129,639,Connceted,51,13.7V,225V,217V,228V,V,V,V,WARNING : Service Request,auto
129,130,-,Not Connceted,47,-,-,-,-,-,-,-,-,-
130,131,60,Connceted,97,13.9V,233V,173V,172V,V,V,V,-,stop
131,132,10,Connceted,94,13.8V,219V,220V,217V,V,V,V,-,auto
132,133,23700,Connceted,98,13.3V,204V,216V,211V,V,V,V,-,auto
133,134,1184,Connceted,99,13.8V,223V,217V,221V,V,V,V,WARNING : Service Request,auto
134,135,10844,Connceted,100,13.7V,227,225V,226V,V,V,V,-,auto
135,136,6166,Connceted,101,13.8V,219V,227V,227V,V,V,V,-,auto
136,137,959,Connceted,91,13.5V,223V,247V,238V,V,V,V,-,auto
137,138,442,Connceted,102,13.7V,238V,238V,236V,V,V,V,-,auto
138,139,0,Connceted,103,13.8V,186V,186V,246V,V,V,V,-,auto
139,140,150,Connceted,105,13.5V,198V,197V,197V,V,V,V,-,auto
140,141,34257,Connceted,74,14.5V,6V,V,V,233V,241V,235V,-,auto
141,142,-,Not Connceted,104,-,-,-,-,-,-,-,-,-
142,143,72,Connceted,106,13.1V,220V,223V,222V,V,V,V,-,auto
143,144,1133,Connceted,73,13.5V,223V,218V,195V,V,V,V,-,auto
144,145,-,Not Connceted,62,-,-,-,-,-,-,-,-,-
145,146,17,Connceted,107,13.7V,250V,250V,246V,V,V,V,-,auto
146,147,16682,Connceted,61,13.3V,228V,228V,220V,V,V,V,SHUTDOWN ALARM: Fail to Start,stop
147,148,928,Connceted,53,13.8V,213V,213V,213V,V,V,V,-,auto
148,149,5888,Connceted,85,13.6V,236V,233V,240V,V,V,V,-,auto
149,150,244,Connceted,90,13.8V,223V,223V,223V,V,V,V,-,auto
150,151,27,Connceted,96,13.7V,221V,213V,222V,V,V,V,-,auto
151,152,4845,Connceted,157,13.7V,239V,239V,240V,V,V,V,-,auto
152,153,-,Not Connceted,18,-,-,-,-,-,-,-,-,-
153,154,7117,Connceted,155,13.4V,216V,247V,234V,V,V,V,-,auto
154,155,296,Connceted,156,13.3V,195V,196V,238V,V,V,V,-,auto
155,156,176,Connceted,153,13.7V,231V,228V,227V,V,V,V,-,auto
156,157,18421,Connceted,154,13.6V,224V,224V,219V,V,V,V,-,auto
