Section,Remarks,COMName,NetProtocol,RemoteIP,RemotePort,LocalPort,RegID,CloudId,CloudPw
78,MSTN_Larsi,COM128,TCP Client,10.170.3.40,23,--,0,,
79,IMRT_Korbouli,COM126,TCP Client,10.170.12.109,23,--,0,,
80,IMRT_Tskhami,COM127,TCP Client,10.170.12.124,23,--,0,,
81,IMRT_Lichi,COM125,TCP Client,10.170.12.14,23,--,0,,
82,MEGR_Nokalakevi,COM121,TCP Client,10.170.15.121,23,--,0,,
83,IMRT_Chiatura_TV,COM123,TCP Client,10.170.12.107,23,--,0,,
84,IMRT_Zodi,COM122,TCP Client,10.170.12.125,23,--,0,,
85,IMRT_Shrosha,COM119,TCP Client,10.170.12.7,23,--,0,,
86,KRTL_Akhkerpi,COM118,TCP Client,10.170.3.97,23,--,0,,
87,IMRT_Sochkheti,COM116,TCP Client,10.170.13.64,23,--,0,,
88,IMRT_Gogni,COM113,TCP Client,10.170.16.13,23,--,0,,
89,KRTL_Chanakhchi,COM117,TCP Client,10.170.3.30,23,--,0,,
90,IMRT_Kumistavi,COM115,TCP Client,10.170.13.49,23,--,0,,
91,IMRT_Vakhani,COM114,TCP Client,10.170.0.88,23,--,0,,
92,MEGR_Khobi_Funicular,COM112,TCP Client,10.170.15.84,23,--,0,,
93,IMRT_Ternali,COM111,TCP Client,10.170.13.20,23,--,0,,
94,IMRT_Chishura,COM109,TCP Client,10.170.16.5,23,--,0,,
95,MEGR_Senaki_TV,COM110,TCP Client,10.170.15.40,23,--,0,,
96,IMRT_Gordi,COM77,TCP Client,10.170.13.18,23,--,0,,
97,MEGR_Ledzadzame,COM108,TCP Client,10.170.15.38,23,--,0,,
98,IMRT_Orpiri,COM75,TCP Client,10.170.13.41,23,--,0,,
99,KRTL_Kratikani_MNT,COM79,TCP Client,10.170.3.16,23,--,0,,
100,SHDK_Kareli,COM68,TCP Client,10.170.4.125,23,--,0,,
101,ADJR_Khulo_TV,COM65,TCP Client,10.170.10.39,23,--,0,,
102,IMRT_Kharagauli_Qroli,COM78,TCP Client,10.170.12.36,23,--,0,,
103,KAKH_Iormuganlo,COM67,TCP Client,10.170.1.75,23,--,0,,
104,SVAN_Idliani_2,COM63,TCP Client,10.170.15.94,23,--,0,,
105,IMRT_Khani,COM64,TCP Client,10.170.16.6,23,--,0,,
106,SJVH_Ninotsminda_MNT,COM66,TCP Client,10.170.0.133,23,--,0,,
107,GURI_Chokhatauri,COM69,TCP Client,10.170.11.21,23,--,0,,
108,IMRT_Mekvena,COM83,TCP Client,10.170.13.23,23,--,0,,
109,IMRT_Alaverdi_TV,COM71,TCP Client,10.170.12.10,23,--,0,,
110,IMRT_Bzvani,COM70,TCP Client,10.170.16.10,23,--,0,,
111,RACH_Tsageri_2,COM84,TCP Client,10.170.13.52,23,--,0,,
112,RACH_Tskhukusheri,COM82,TCP Client,10.170.13.54,23,--,0,,
113,KRTL_Amamlo,COM72,TCP Client,10.170.3.99,23,--,0,,
114,KRTL_Orbeti_Pantiani,COM86,TCP Client,10.170.3.121,23,--,0,,
115,SVAN_Jakhunderi,COM11,TCP Client,10.170.13.66,23,--,0,,
116,RACH_Chrebalo,COM1,TCP Client,10.170.13.74,23,--,0,,
117,IMRT_Vazisubani,COM3,TCP Client,10.170.9.207,23,--,0,,
118,RACH_Chebi,COM52,TCP Client,10.170.13.76,23,--,0,,
119,IMRT_GADIDI,COM89,TCP Client,10.170.9.201,23,--,0,,
120,KAKH_Omalo_Pankisi,COM87,TCP Client,10.170.2.174,23,--,0,,
121,SJVH_CHVINTA,COM60,TCP Client,10.170.0.52,23,--,0,,
122,RACH_UTSERA,COM59,TCP Client,10.170.13.78,23,--,0,,
123,KAKH_Sasadilo_Gombori,COM76,TCP Client,10.170.2.165,23,--,0,,
124,RACH_Tsageri,COM7,TCP Client,10.170.13.51,23,--,0,,
125,KAKH_Tusheti,COM92,TCP Client,10.170.2.40,23,--,0,,
126,RACH_Khotevi,COM50,TCP Client,10.170.13.83,23,--,0,,
127,SVAN_Mucdi,COM93,TCP Client,10.170.13.107,23,--,0,,
128,RACH_Ambrolauri_TV,COM51,TCP Client,10.170.13.105,23,--,0,,
129,GURI_Bakhmaro,COM47,TCP Client,10.170.9.199,23,--,0,,
130,SJVH_Aragva,COM97,TCP Client,10.170.0.104,23,--,0,,
131,KRTL_Dmanisi_TV,COM94,TCP Client,10.170.3.105,23,--,0,,
132,SJVH_Baraleti,COM98,TCP Client,10.170.0.53,23,--,0,,
133,IMRT_Tskaltashua,COM99,TCP Client,10.170.16.8,23,--,0,,
